gameid,title,platform,developers,publishers,genres,supported_languages,release_date
699583,Long Yard Run,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-22
699582,The Perplexing Orb: Bounce Challenge,PS5,['TreeFall Studios'],['TreeFall Studios'],['Platformer'],,2024-08-27
699523,Caravan SandWitch,PS5,['Plane Toast'],['Dear Villagers'],"['Open World', 'Role Playing']","['Japanese', 'French', 'German', 'Korean', 'Chinese (simplified)', 'Portuguese (Brazil)']",2024-09-12
699395,Concord,PS5,['sony online entertainment'],['sony online entertainment'],['shooter'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Portuguese', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Polish', 'Portuguese (Brazil)', 'Arabic', 'Thai']",2024-08-23
699304,Cilla,PS5,['Stamina Zero'],['Stamina Zero'],"[""Shoot 'em up""]","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Portuguese', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Finnish', 'Swedish', 'Norway', 'Polish', 'Portuguese (Brazil)', 'Turkish', 'French (Canada)', 'Czech', 'Hungarian', 'Greek', 'Romanian']",2024-08-01
699277,Star Wars Outlaws,PS5,['Massive Entertainment'],['Ubisoft'],"['Open World', 'Action-Adventure']","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Polish', 'Portuguese (Brazil)']",2024-08-30
699173,"YEAH! YOU WANT ""THOSE GAMES,"" RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM!2",PS5,['Monkeycraft'],['D3Publisher of America Inc.'],"['Puzzle', 'Action']","['Japanese', 'French', 'German', 'Italian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Portuguese (Brazil)']",2024-01-11
699106,Eden Genesis,PS4,['Aeternum Game Studios'],['Aeternum Game Studios'],['Action-Adventure'],['Spanish'],2024-08-06
698925,Lunar Nightmare,PS5,['Playstige Interactive'],['Playstige Interactive'],['Survival Horror'],,2024-08-16
698880,Wild West Tycoon Empire,PS4,['CHETRUSCA SOFTWORKS'],['SimulaMaker'],"['Simulation', 'Management']",,2024-07-12
698859,Vikings Pinball,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Pinball'],,2024-08-17
698858,Vikings Pinball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Pinball'],,2024-08-17
